hash	citation	verified	checked	new_hash	author	title	year	URL	DOI
('Olaf Sporns: Networks of the Brain', 2012)	O. Sporns, Networks Of the Brain. MIT press, 2011.	0.5	1		Matteo Colombo	Olaf Sporns: Networks of the Brain	2012	http://dx.doi.org/10.1007/s11023-012-9294-y	10.1007/s11023-012-9294-y
('M. Barnachon, S. Bouakaz, B. Boufama, E. Guillou Ongoing human action Pattern Recognition, 47 (1) (2014), pp. 238–247 https://doi.org/10.1016/j.patcog.2013.06.020', 'CITATION ONLY')	M. Barnachon, S. Bouakaz, B. Boufama, E. Guillou Ongoing human action Pattern Recognition, 47 (1) (2014), pp. 238–247 https://doi.org/10.1016/j.patcog.2013.06.020	1	1		Mathieu Barnachon and Sa�da Bouakaz and Boubakeur Boufama and Erwan Guillou	Ongoing human action recognition with motion capture	2014	http://dx.doi.org/10.1016/j.patcog.2013.06.020	10.1016/j.patcog.2013.06.020
('Principles of brain functioning: A synergetic approach to brain activity, behavior, and cognition by H. Haken, Springer-Verlag, Berlin, 1996. $69.00 (cloth), xiii + 347 pp.', 1997)	H. Haken, Principles Of Brain Functioning: A synergetic Approach To Brain Activity, Behavior And Cognition, vol. 67. Springer Science & Business Media, 2013.	0.5	1		G Bard Ermentrout	Principles of brain functioning: A synergetic approach to brain activity, behavior, and cognition by H. Haken, Springer-Verlag, Berlin, 1996. $69.00 (cloth), xiii + 347 pp.	1997	http://dx.doi.org/10.1016/s0092-8240(97)83526-4	10.1016/s0092-8240(97)83526-4
('PsybOt malware: A step-by-step decompilation case study', 2013)	Durfina, L., Kroustek, J., Zemek, P.: Psyb0t malware: a step-by-step decompilation—case study. In: Working Conference on Reverse Engineering (WCRE), pp. 449–456. IEEE Computer Society (2013)	1	1		Lukas Durfina and Jakub Kroustek and Petr Zemek	PsybOt malware: A step-by-step decompilation case study	2013	http://dx.doi.org/10.1109/wcre.2013.6671321	10.1109/wcre.2013.6671321
('Recognizing Actions from Depth Cameras as Weakly Aligned Multi-part Bag-of-Poses', 2013)	L. Seidenari, V. Varano, S. Berretti, A.D. Bimbo, P. Pala, Recognizing actions from depth, in: 2013 IEEE Conference on Computer Vision and Pattern Recognition Workshops, IEEE, 2013. doi:10.1109/cvprw.2013.77.	1	1		Lorenzo Seidenari and Vincenzo Varano and Stefano Berretti and Alberto Del Bimbo and Pietro Pala	Recognizing Actions from Depth Cameras as Weakly Aligned Multi-part Bag-of-Poses	2013	http://dx.doi.org/10.1109/cvprw.2013.77	10.1109/cvprw.2013.77
("Risk Factors for Alzheimer's Disease: A Prospective Analysis from the Canadian Study of Health and Aging", 2002)	Lindsay J, Laurin D, Verreault R, Hébert R, Helliwell B, Hill GB, et al. Risk factors for Alzheimer’s disease: a prospective analysis from the Canadian study of health and aging. Am J Epidemiol. 2002;156(5):445–53.	1	1		J. Lindsay	Risk Factors for Alzheimer's Disease: A Prospective Analysis from the Canadian Study of Health and Aging	2002	http://dx.doi.org/10.1093/aje/kwf074	10.1093/aje/kwf074
('Sampling and reconstruction of sparse signals on circulant graphs � an introduction to graph-FRI', 2017)	M. S. Kotzagiannidis and P. L. Dragotti, “Sampling and reconstruction of sparse signals on circulant graphs-an introduction to graph-FRI,�\x9d arXiv preprint arXiv:1606.08085, 2016.	1	1		M.S. Kotzagiannidis and P.L. Dragotti	Sampling and reconstruction of sparse signals on circulant graphs � an introduction to graph-FRI	2017	http://dx.doi.org/10.1016/j.acha.2017.10.003	10.1016/j.acha.2017.10.003
('Social network changes and life events across the life span: A meta-analysis.', 2013)	C. Wrzus, M. Hanel, J. Wagner, and F. J. Neyer, “Social network changes and life events ¨ across the life span: a meta-analysis.,�\x9d Psychol. Bull., vol. 139, p. 53, Jan. 2013.	1	1		Cornelia Wrzus and Martha H�nel and Jenny Wagner and Franz J. Neyer	Social network changes and life events across the life span: A meta-analysis.	2013	http://dx.doi.org/10.1037/a0028601	10.1037/a0028601
('Spatio-temporal and kinematic gait analysis in patients with Frontotemporal dementia and Alzheimer�s disease through 3D motion capture', 2017)	R. Rucco, V. Agosti, F. Jacini, P. Sorrentino, P. Varriale, M. De Stefano, G. Milan, P. Montella, G. Sorrentino Spatio-temporal and kinematic gait analysis in patients with frontotemporal dementia and alzheimer?s disease through 3d motion capture Gait & posture, 52 (2017), pp. 312–317 https://doi.org/10.1016/j.gaitpost.2016.12.021	1	1		Rosaria Rucco and Valeria Agosti and Francesca Jacini and Pierpaolo Sorrentino and Pasquale Varriale and Manuela De Stefano and Graziella Milan and Patrizia Montella and Giuseppe Sorrentino	Spatio-temporal and kinematic gait analysis in patients with Frontotemporal dementia and Alzheimer�s disease through 3D motion capture	2017	http://dx.doi.org/10.1016/j.gaitpost.2016.12.021	10.1016/j.gaitpost.2016.12.021
('Rucco R, Agosti V, Jacini F, Sorrentino P, Varriale P, Stefano MD, Milan G, Montella P, Sorrentino G (2017) Spatio-temporal and kinematic gait analysis in patients with frontotemporal dementia and alzheimer’s disease through 3d motion capture. Gait Posture 52:312–317.  https://doi.org/10.1016/j.gaitpost.2016.12.021', 'CITATION ONLY')	Rucco R, Agosti V, Jacini F, Sorrentino P, Varriale P, Stefano MD, Milan G, Montella P, Sorrentino G (2017) Spatio-temporal and kinematic gait analysis in patients with frontotemporal dementia and alzheimer’s disease through 3d motion capture. Gait Posture 52:312–317.  https://doi.org/10.1016/j.gaitpost.2016.12.021	1	1		Rosaria Rucco and Valeria Agosti and Francesca Jacini and Pierpaolo Sorrentino and Pasquale Varriale and Manuela De Stefano and Graziella Milan and Patrizia Montella and Giuseppe Sorrentino	Spatio-temporal and kinematic gait analysis in patients with Frontotemporal dementia and Alzheimer�s disease through 3D motion capture	2017	http://dx.doi.org/10.1016/j.gaitpost.2016.12.021	10.1016/j.gaitpost.2016.12.021
('Sublinear Time Algorithms for Earth Mover�s Distance', 2010)	Sublinear Time Algorithms for Earth Mover’s Distance. Theory Comput. Syst. 48, 2 (2011), 428–442. 010- 9265- 8  [doi>10.1007/s00224-010-9265-8]	1	1		Khanh Do Ba and Huy L. Nguyen and Huy N. Nguyen and Ronitt Rubinfeld	Sublinear Time Algorithms for Earth Mover�s Distance	2010	http://dx.doi.org/10.1007/s00224-010-9265-8	10.1007/s00224-010-9265-8
('Temporal�spatial reach parameters derived from inertial sensors: Comparison to 3D marker-based motion capture', 2017)	K. Cahill-Rowley, J. Rose Temporal–spatial reach parameters derived from inertial sensors: Comparison to 3d marker-based motion capture Journal of biomechanics, 52 (2017), pp. 11–16 https://doi.org/10.1016/j.jbiomech.2016.10.031	1	1		Katelyn Cahill-Rowley and Jessica Rose	Temporal�spatial reach parameters derived from inertial sensors: Comparison to 3D marker-based motion capture	2017	http://dx.doi.org/10.1016/j.jbiomech.2016.10.031	10.1016/j.jbiomech.2016.10.031
('Cahill-Rowley K, Rose J (2017) Temporal–spatial reach parameters derived from inertial sensors: Comparison to 3d marker-based motion capture. J Biomech 52:11–16.  https://doi.org/10.1016/j.jbiomech.2016.10.031', 'CITATION ONLY')	Cahill-Rowley K, Rose J (2017) Temporal–spatial reach parameters derived from inertial sensors: Comparison to 3d marker-based motion capture. J Biomech 52:11–16.  https://doi.org/10.1016/j.jbiomech.2016.10.031	1	1		Katelyn Cahill-Rowley and Jessica Rose	Temporal�spatial reach parameters derived from inertial sensors: Comparison to 3D marker-based motion capture	2017	http://dx.doi.org/10.1016/j.jbiomech.2016.10.031	10.1016/j.jbiomech.2016.10.031
('Testing Forest-Isomorphism in the Adjacency List Model', 2014)	Testing Forest-Isomorphism in the Adjacency List Model. In Automata, Languages, and Programming - 41st International Colloquium, ICALP 2014, Copenhagen, Denmark, July 8-11, 2014, Proceedings, Part I. 763–774. 3- 662- 43948- 7_63  [doi>10.1007/978-3-662-43948-7_63]	1	1		Mitsuru Kusumoto and Yuichi Yoshida	Testing Forest-Isomorphism in the Adjacency List Model	2014	http://dx.doi.org/10.1007/978-3-662-43948-7_63	10.1007/978-3-662-43948-7_63
('Testing Symmetric Properties of Distributions', 2011)	Testing Symmetric Properties of Distributions. SIAM J. Comput. 40, 6 (2011), 1927–1968.	1	1		Paul Valiant	Testing Symmetric Properties of Distributions	2011	http://dx.doi.org/10.1137/080734066	10.1137/080734066
('Time-Resolved Resting-State Functional Magnetic Resonance Imaging Analysis: Current Status, Challenges, and New Directions', 2017)	S. D. Keilholz, C. Caballero-Gaudes, P. Bandettini, G. Deco, and V. D. Calhoun, “Timeresolved resting state fMRI analysis: current status, challenges, and new directions,�\x9d Brain Connect., vol. 7, pp. 465–481, Oct. 2017.	1	1		Shella Keilholz and Cesar Caballero-Gaudes and Peter Bandettini and Gustavo Deco and Vince Calhoun	Time-Resolved Resting-State Functional Magnetic Resonance Imaging Analysis: Current Status, Challenges, and New Directions	2017	http://dx.doi.org/10.1089/brain.2017.0543	10.1089/brain.2017.0543
('Towards a proteome-scale map of the human protein�protein interaction network', 2005)	Rual J F, Venkatesan K, Hao T, et al. Towards a proteome-scale map of the human protein¿protein interaction network[J]. Nature, 2005, 437(7062):1173-8.	1	1		Jean-Fran�ois Rual and Kavitha Venkatesan and Tong Hao and Tomoko Hirozane-Kishikawa and Am�lie Dricot and Ning Li and Gabriel F. Berriz and Francis D. Gibbons and Matija Dreze and Nono Ayivi-Guedehoussou and Niels Klitgord and Christophe Simon and Mike Boxem and Stuart Milstein and Jennifer Rosenberg and Debra S. Goldberg and Lan V. Zhang and Sharyl L. Wong and Giovanni Franklin and Siming Li and Joanna S. Albala and Janghoo Lim and Carlene Fraughton and Estelle Llamosas and Sebiha Cevik and Camille Bex and Philippe Lamesch and Robert S. Sikorski and Jean Vandenhaute and Huda Y. Zoghbi and Alex Smolyar and Stephanie Bosak and Reynaldo Sequerra and Lynn Doucette-Stamm and Michael E. Cusick and David E. Hill and Frederick P. Roth and Marc Vidal	Towards a proteome-scale map of the human protein�protein interaction network	2005	http://dx.doi.org/10.1038/nature04209	10.1038/nature04209
('E.K. Kumar, P.V.V. Kishore, A.S.C.S. Sastry, M.T.K. Kumar, D.A. Kumar Training CNNs for 3-d IEEE Signal Processing Letters, 25 (5) (2018), pp. 645–649 https://doi.org/10.1109/lsp.2018.2817179', 'CITATION ONLY')	E.K. Kumar, P.V.V. Kishore, A.S.C.S. Sastry, M.T.K. Kumar, D.A. Kumar Training CNNs for 3-d IEEE Signal Processing Letters, 25 (5) (2018), pp. 645–649 https://doi.org/10.1109/lsp.2018.2817179	1	1		E. Kiran Kumar and P. V. V. Kishore and A. S. C. S. Sastry and M. Teja Kiran Kumar and D. Anil Kumar	Training CNNs for 3-D Sign Language Recognition With Color Texture Coded Joint Angular Displacement Maps	2018	http://dx.doi.org/10.1109/lsp.2018.2817179	10.1109/lsp.2018.2817179
('T. Milenkovic and N. Pr ´ zulj, “Uncovering biological network function via graphlet degree ˇ signatures.,�\\x9d Cancer Inform., vol. 6, p. 257, Jan. 2008.', 'CITATION ONLY')	T. Milenkovic and N. Pr ´ zulj, “Uncovering biological network function via graphlet degree ˇ signatures.,�\x9d Cancer Inform., vol. 6, p. 257, Jan. 2008.	1	1		Tijana Milenkovi\u0107 and Nata�a Pr�ulj	Uncovering Biological Network Function via Graphlet Degree Signatures	2008	http://dx.doi.org/10.4137/cin.s680	10.4137/cin.s680
('Using Markov chains for identification of writers', 2001)	D. Khmelev and F. Tweedie, “Using Markov Chains for Identification of Writer,�\x9d Lit. Ling. Comput., vol. 16, Sep. 2001.	1	1		D. Khmelev	Using Markov chains for identification of writers	2001	http://dx.doi.org/10.1093/llc/16.3.299	10.1093/llc/16.3.299
('View invariant human action recognition using histograms of 3D joints', 2012)	L. Xia, C.-C. Chen, J.K. Aggarwal, View invariant human, in: 2012 IEEE Computer Society Conference on Computer Vision and Pattern Recognition Workshops, IEEE, 2012. doi:10.1109/cvprw.2012.6239233.	1	1		Lu Xia and Chia-Chih Chen and J. K. Aggarwal	View invariant human action recognition using histograms of 3D joints	2012	http://dx.doi.org/10.1109/cvprw.2012.6239233	10.1109/cvprw.2012.6239233
('[Title pages]', 2013)	Pooria Joulani, Andras Gyorgy, and Csaba Szepesv´ari. Online learning under delayed feedback. In International Conference on Machine Learning, pages 1453–1461, 2013.	1	1	('Online learning under delayed feedback', 2013)	Pooria Joulani and Andras Gyorgy and Csaba Szepesv´ari	Online learning under delayed feedback	2013	http://dx.doi.org/10.1109/icmlc.2013.6890341	10.1109/icmlc.2013.6890341
('10th anniversary ECCC-the electronic colloquium on computational complexity', 2004)	Oded Goldreich and Dana Ron. 2000. On Testing Expansion in Bounded-Degree Graphs. Electronic Colloquium on Computational Complexity (ECCC) 7, 20 (2000). http://eccc.hpiweb.de/ecccreports/2000/TR00- 020/index.html	1	1	('On Testing Expansion in Bounded-Degree Graphs', 2000)	Oded Goldreich and Dana Ron	On Testing Expansion in Bounded-Degree Graphs	2000	http://dx.doi.org/10.1109/ccc.2004.1313758	10.1109/ccc.2004.1313758
('Clément L. Canonne. 2015. A Survey on Distribution Testing: Your Data is Big. But is it Blue? Electronic Colloquium on Computational Complexity (ECCC) 22 (2015), 63. http://eccc.hpiweb.de/report/2015/063', 'CITATION ONLY')	Clément L. Canonne. 2015. A Survey on Distribution Testing: Your Data is Big. But is it Blue? Electronic Colloquium on Computational Complexity (ECCC) 22 (2015), 63. http://eccc.hpiweb.de/report/2015/063	1	1	('A Survey on Distribution Testing: Your Data is Big. But is it Blue?', 2015)	Clément L. Canonne	A Survey on Distribution Testing: Your Data is Big. But is it Blue?	2015	http://dx.doi.org/10.1109/ccc.2004.1313758	10.1109/ccc.2004.1313758
('L.P. Cordella, P. Foggia, C. Sansone, M. Vento. An improved algorithm for matching large graphs. 3rd IAPR-TC15 Workshop on GBR (2001), pp. 149–159', 'CITATION ONLY')	L.P. Cordella, P. Foggia, C. Sansone, M. Vento. An improved algorithm for matching large graphs. 3rd IAPR-TC15 Workshop on GBR (2001), pp. 149–159	1	1	('An improved algorithm for matching large graphs', 2001)	L. P. Cordella and P. Foggia and C. Sansone and M. Vento	An improved algorithm for matching large graphs	2001	http://dx.doi.org/10.1109/tpami.2004.75	10.1109/tpami.2004.75
('A distribution-based clustering algorithm for mining in large spatial databases', None)	M. Ester, H.-P. Kriegel, J. Sander, X. Xu, et al., “A density-based algorithm for discovering clusters in large spatial databases with noise.,�\x9d Kdd, vol. 96, pp. 226–231, Aug. 1996.	1	1	('A density-based algorithm for discovering clusters in large spatial databases with noise', 1996)	M. Ester and H.-P. Kriegel and J. Sander and X. Xu	A density-based algorithm for discovering clusters in large spatial databases with noise	1996	http://dx.doi.org/10.1109/icde.1998.655795	10.1109/icde.1998.655795
('W. Huang, T. A. W. Bolton, J. D. Medaglia, D. S. Bassett, A. Ribeiro, and D. Van De Ville, “Graph signal processing of human brain imaging data,�\\x9d in Proc. Int. Conf. Acoustics Speech Signal Process., p. (accepted), Apr. 2018.', 'CITATION ONLY')	W. Huang, T. A. W. Bolton, J. D. Medaglia, D. S. Bassett, A. Ribeiro, and D. Van De Ville, “Graph signal processing of human brain imaging data,�\x9d in Proc. Int. Conf. Acoustics Speech Signal Process., p. (accepted), Apr. 2018.	1	1	('Graph signal processing of human brain imaging data', 2018)	W. Huang and T. A. W. Bolton and J. D. Medaglia and D. S. Bassett and A. Ribeiro and and D. Van De Ville	Graph signal processing of human brain imaging data	2018	http://dx.doi.org/10.1109/jproc.2018.2798928	10.1109/jproc.2018.2798928
('A novel rule generator for intrusion detection based on frequent subgraph mining', 2017)	Herrera-Semenets, V., Acosta-Mendoza, N., Gago-Alonso, A.: A Framework for intrusion detection based on frequent subgraph mining. In: The 2nd SDM Workshop on Mining Networks and Graphs: A Big Data Analytic Challenge (SDM-Networks 2015), Vancouver, BC, Canada (2015)	1	1	('A Framework for intrusion detection based on frequent subgraph mining', 2015)	Vitali Herrera-Semenets and Andres Gago-Alonso and N Acosta-Mendoza	A Framework for intrusion detection based on frequent subgraph mining	2015	http://dx.doi.org/10.4067/s0718-33052017000200226	10.4067/s0718-33052017000200226
('A one-layer recurrent neural network for constrained nonsmooth invex optimization', 2014)	B. Amos and J. Z. Kolter. Optnet: Differentiable optimization as a layer in neural networks. CoRR, abs/1703.00443, 2017.	1	1	('Optnet: Differentiable optimization as a layer in neural networks', 2017)	B. Amos and J. Z. Kolter	Optnet: Differentiable optimization as a layer in neural networks	2017	http://dx.doi.org/10.1016/j.neunet.2013.11.007	10.1016/j.neunet.2013.11.007
('A Unified Framework for Multi-Modal Isolated Gesture Recognition', 2018)	Duan J, Zhou S, Wan J, Guo X, Li SZ (2016) Multi-modality fusion based on consensus-voting and 3d convolution for isolated gesture recognition. arXiv:1611.06689	1	1	('Multi-modality fusion based on consensus-voting and 3d convolution for isolated gesture recognition', 2016)	Jiali Duan and Jun Wan and Shuai Zhou and Xiaoyuan Guo and Stan Z. Li	Multi-modality fusion based on consensus-voting and 3d convolution for isolated gesture recognition	2016	http://dx.doi.org/10.1145/3131343	10.1145/3131343
('Advanced Analytics-Technology and Tools: MapReduce and Hadoop', 2015)	Zikopoulos, P., Eaton, C., et al.: Understanding big data: Analytics for enterprise class hadoop and streaming data. McGraw-Hill Osborne Media (2011)	1	1	('Understanding big data: Analytics for enterprise class hadoop and streaming data', 2011)	P Zikopoulos and C Eaton	Understanding big data: Analytics for enterprise class hadoop and streaming data	2011	http://dx.doi.org/10.1002/9781119183686.ch10	10.1002/9781119183686.ch10
('An approximation tour', 1999)	S. Mallat, A Wavelet Tour Of Signal Processing. Academic Press, 2009.	1	1	('A Wavelet Tour Of Signal Processing', 2009)	St�phane Mallat	A Wavelet Tour Of Signal Processing	2009	http://dx.doi.org/10.1016/b978-012466606-1/50011-8	10.1016/b978-012466606-1/50011-8
('An integrated map of genetic variation from 1,092 human genomes', 2012)	Sudmant, P. H. et al. An integrated map of structural variation in 2,504 human genomes. Nature 526, 75–81 (2015).	1	1	('An integrated map of structural variation in 2,504 human genomes', 2015)	P H Sudmant	An integrated map of structural variation in 2,504 human genomes	2015	http://dx.doi.org/10.1038/nature11632	10.1038/nature11632
('1000 Genomes Project Consortium. A global reference for human genetic variation. Nature 526, 68–74 (2015).', 'CITATION ONLY')	1000 Genomes Project Consortium. A global reference for human genetic variation. Nature 526, 68–74 (2015).	1	1	('A global reference for human genetic variation', 2015)	1000 Genomes Project Consortium	A global reference for human genetic variation	2012	http://dx.doi.org/10.1038/nature11632	10.1038/nature11632
('An Interior-Point Method for Large-Scale -Regularized Least Squares', 2007)	S. Kim, K. Koh, M. Lustig, S. Boyd, and D. Gorinevsky, “A method for large-scale l1- regularised least squares problems with applications in signal processing and statistics,�\x9d IEEE J. Select. Topics Signal Process, vol. 1, pp. 606–617, Dec. 2007.	1	1		Seung-Jean Kim and K. Koh and M. Lustig and Stephen Boyd and Dimitry Gorinevsky	An Interior-Point Method for Large-Scale -Regularized Least Squares	2007	http://dx.doi.org/10.1109/jstsp.2007.910971	10.1109/jstsp.2007.910971
('Analysis of Inhomogeneous Static Magnetic Field-Induced Antinociceptive Activity in Mice', 2010)	László Babai. 2016.	1	1	('Graph isomorphism in quasipolynomial time', 2016)	László Babai	Graph isomorphism in quasipolynomial time	2016	http://dx.doi.org/10.2529/piers091005062944	10.2529/piers091005062944
('An�lisis Comparativo de Algoritmos de Miner�a de Subgrafos Frecuentes', 2016)	Acosta-Mendoza, N.: Clasificación de imágenes basada en subconjunto de subgrafos frecuentes aproximados. Master’s thesis, The National Institute of Astrophysics, Optics and Electronics of Mexico (INAOE), July 2013	1	1	('Clasificación de imágenes basada en subconjunto de subgrafos frecuentes aproximados', 2013)	N Acosta-Mendoza	Clasificación de imágenes basada en subconjunto de subgrafos frecuentes aproximados	2013	http://dx.doi.org/10.18294/relais.2016.111-142	10.18294/relais.2016.111-142
('Application of Artificial Neural Network in Cellular Handoff Management', 2007)	M. Parsana, S. Bhattacharya, C. Bhattacharya, and K. Ramakrishnan, “Kernels on attributed pointsets with applications,�\x9d in Proc. of Annual Conference on Neural Information Processing Systems, pp. 1129-1136, 2007.	1	1	('Kernels on attributed pointsets with applications', 2007)	M. Parsana and S. Bhattacharya and C. Bhattacharya and K. Ramakrishnan	Kernels on attributed pointsets with applications	2007	http://dx.doi.org/10.1109/iccima.2007.252	10.1109/iccima.2007.252
('Application of Dimensionality Reduction in Recommender System - A Case Study', 2000)	B. M. Sarwar, G. Karypis, J. Konstan, and J. Riedl, “Recommender systems for large-scale e-commerce: Scalable neighborhood formation using clustering,�\x9d in Int. Conf. Comput. Inf. Technol., vol. 1, Dec. 2002.	1	1	('Recommender systems for large-scale e-commerce: Scalable neighborhood formation using clustering', 2002)	Badrul Sarwar and George Karypis and Joseph Konstan and John Riedl	Recommender systems for large-scale e-commerce: Scalable neighborhood formation using clustering	2002	http://dx.doi.org/10.21236/ada439541	10.21236/ada439541
('Assembly of chromosome-scale contigs by efficiently resolving repetitive sequences with long reads', 2018)	Li, H. Aligning sequence reads, clone sequences and assembly contigs with BWA-MEM. Preprint at https://arxiv.org/abs/1303.3997 (2013).	1	1	('Aligning sequence reads, clone sequences and assembly contigs with BWA-MEM', 2013)	H Li	Aligning sequence reads, clone sequences and assembly contigs with BWA-MEM	2013	http://dx.doi.org/10.1101/345983	10.1101/345983
('Big data machine learning using apache spark MLlib', 2017)	Meng, X., Bradley, J., Yavuz, B., Sparks, E., Venkataraman, S., Liu, D., Freeman, J., Tsai, D., Amde, M., Owen, S., et al.: Mllib: Machine learning in apache spark. The Journal of Machine Learning Research 17(1), 1235–1241 (2016)	1	1	('Mllib: Machine learning in apache spark', 2016)	X Meng and J Bradley and B Yavuz and E Sparks and S Venkataraman and D Liu and J Freeman and D Tsai, D and M Amde and S Owen	Mllib: Machine learning in apache spark	2016	http://dx.doi.org/10.1109/bigdata.2017.8258338	10.1109/bigdata.2017.8258338
('Big data Migration for Telecom Business Support Systems', 2015)	Kent Quanrud and Daniel Khashabi. Online learning with adversarial delays. In Advances in Neural Information Processing Systems, pages 1270–1278, 2015.	1	1	('Online learning with adversarial delays', 2015)	Kent Quanrud and Daniel Khashabi	Online learning with adversarial delays	2015	http://dx.doi.org/10.15224/978-1-63248-077-4-96	10.15224/978-1-63248-077-4-96
('Buildup of speaking skills in an online learning community: a network-analytic exploration', 2018)	R. Shafipour, R. A. Baten, M. K. Hasan, G. Ghoshal, G. Mateos, et al., “Closing the knowledge gap in an online learning community: Network-analytic discoveries, simulation and prediction,�\x9d arXiv preprint arXiv:1707.01886, 2017.	1	1	('Closing the knowledge gap in an online learning community: Network-analytic discoveries, simulation and prediction', 2017)	Rasoul Shafipour and Raiyan Abdul Baten and Md Kamrul Hasan and Gourab Ghoshal and Gonzalo Mateos	Closing the knowledge gap in an online learning community: Network-analytic discoveries, simulation and prediction	2017	http://dx.doi.org/10.1057/s41599-018-0116-6	10.1057/s41599-018-0116-6
('Call for papers: AAAI-84 ', 1984)	Pooria Joulani, Andr´as Gy¨orgy, and Csaba Szepesv´ari. Delay-tolerant online convex optimization: Unified analysis and adaptive-gradient algorithms. In Proceedings of the Thirtieth AAAI Conference on Artificial Intelligence, AAAI’16, pages 1744–1750. AAAI Press, 2016.	1	1	('Delay-tolerant online convex optimization: Unified analysis and adaptive-gradient algorithms', 2016)	Pooria Joulani and Andr´as Gy¨orgy and Csaba Szepesv´ari	Delay-tolerant online convex optimization: Unified analysis and adaptive-gradient algorithms	2016	http://dx.doi.org/10.1016/0004-3702(84)90030-4	10.1016/0004-3702(84)90030-4
('Classification Analysis: Allocation of Observations to Groups', 2012)	McQueen, J.: Some methods for classification and analysis of multivariate observations. In: Proceedings of the Fifth Berkeley Symposium on Mathematical Statistics and Probability, Volume 1: Statistics, pp. 281–297. University of California Press (1967)	1	1	('Some methods for classification and analysis of multivariate observations', 1967)	J McQueen	Some methods for classification and analysis of multivariate observations	1967	http://dx.doi.org/10.1002/9781118391686.ch9	10.1002/9781118391686.ch9
('W. Huang, A. G. Marques, and A. Ribeiro, “Rating prediction via graph signal processing,�\\x9d IEEE Trans. Signal Process., p. (revised), Apr. 2018.', 'CITATION ONLY')	W. Huang, A. G. Marques, and A. Ribeiro, “Rating prediction via graph signal processing,�\x9d IEEE Trans. Signal Process., p. (revised), Apr. 2018.	1	1	('Rating prediction via graph signal processing', 2018)	Weiyu Huang and Antonio G. Marques and Alejandro Ribeiro	Rating prediction via graph signal processing	2018	http://dx.doi.org/10.23919/eusipco.2017.8081498	10.23919/eusipco.2017.8081498
('W. Huang, A. G. Marques, and A. Ribeiro, “Matrix completion via graph signal processing,�\\x9d in Proc. Int. Conf. Acoustics Speech Signal Process., p. (accepted), Apr. 2018.', 'CITATION ONLY')	W. Huang, A. G. Marques, and A. Ribeiro, “Matrix completion via graph signal processing,�\x9d in Proc. Int. Conf. Acoustics Speech Signal Process., p. (accepted), Apr. 2018.	1	1	('Matrix completion via graph signal processing', 2018)	Weiyu Huang and Antonio G. Marques and Alejandro Ribeiro	Matrix completion via graph signal processing	2018	http://dx.doi.org/10.23919/eusipco.2017.8081498	10.23919/eusipco.2017.8081498
('László Babai, William M. Kantor, and Eugene M. Luks. 1983.', 'CITATION ONLY')	László Babai, William M. Kantor, and Eugene M. Luks. 1983.	1	1		L. Babai and W. M. Kantor and E. M. Luks	Computational complexity and the classification of finite simple groups	1983	http://dx.doi.org/10.1109/sfcs.1983.10	10.1109/sfcs.1983.10
('Core Problems', 2010)	D. A. Rosenbaum, Human Motor Control. Academic press, 2009.	1	1	('Human Motor Control', 2010)	David A. Rosenbaum	Human Motor Control	2010	http://dx.doi.org/10.1016/b978-0-12-374226-1.00002-4	10.1016/b978-0-12-374226-1.00002-4
('Cover Picture: Ribosomal Synthesis of Backbone-Macrocyclic Peptides Containing \u03b3-Amino Acids (ChemBioChem 8/2011)', 2011)	120890946  [doi>10.1137/120890946]	1	1	('Every Property of Hyperfinite Graphs Is Testable', 2013)	Ilan Newman and Christian Sohler	Every Property of Hyperfinite Graphs Is Testable	2013	http://dx.doi.org/10.1002/cbic.201190031	10.1002/cbic.201190031
('Cushing�s Disease � Quality of Life, Recurrence and Long-term Morbidity', 2015)	S. M. Smith, “BET: Brain extraction tool,�\x9d FMRIB TR00SMS2b, Oxford Centre for Functional Magnetic Resonance Imaging of the Brain), Department of Clinical Neurology, Oxford University, John Radcliffe Hospital, Headington, UK, 2000.	1	1	('BET: Brain extraction tool', 2000)	S M Smith	BET: Brain extraction tool	2000	http://dx.doi.org/10.17925/use.2015.11.1.55	10.17925/use.2015.11.1.55
('Data Management Essentials Using SAS and JMP', 2016)	R. Klimberg, Fundamentals Of Predictive Analytics With JMP. SAS Institute, 2016.	1	1	('Fundamentals Of Predictive Analytics With JMP', 2016)	R Klimberg	Fundamentals Of Predictive Analytics With JMP	2016	http://dx.doi.org/10.1017/cbo9781316335307	10.1017/cbo9781316335307
('Detection of control flow errors in directed graphs', 2017)	Gold, R.: Reductions of control flow graphs. Int. J. Comput., Electr. Autom. Control Inf. Eng. 8(3), (2014)	1	1	('Reductions of control flow graphs', 2014)	Robert Gold	Reductions of control flow graphs	2014	http://dx.doi.org/10.1063/1.4992702	10.1063/1.4992702
('Discriminant Locality Preserving Projections Based on L1-Norm Maximization', 2014)	He, X., Niyogi, P.: Locality preserving projections. Adv. Neural Inf. Proc. Syst. 2(5), 153–160 (2004)	1	1	('Locality preserving projections', 2004)	X He and P Niyogi	Locality preserving projections	2004	http://dx.doi.org/10.1109/tnnls.2014.2303798	10.1109/tnnls.2014.2303798
